family,symbol,time,equityUsd
momentum,AVAX,2026-05-27T00:00:00.000Z,40
momentum,AVAX,2026-05-28T00:00:00.000Z,40
momentum,AVAX,2026-05-29T00:00:00.000Z,40
momentum,AVAX,2026-05-30T00:00:00.000Z,40
momentum,AVAX,2026-05-31T00:00:00.000Z,40
momentum,AVAX,2026-06-01T00:00:00.000Z,40
momentum,AVAX,2026-06-02T00:00:00.000Z,40
momentum,AVAX,2026-06-03T00:00:00.000Z,40
momentum,AVAX,2026-06-04T00:00:00.000Z,40
momentum,AVAX,2026-06-05T00:00:00.000Z,40
momentum,AVAX,2026-06-06T00:00:00.000Z,40
momentum,AVAX,2026-06-07T00:00:00.000Z,40
momentum,AVAX,2026-06-08T00:00:00.000Z,40
momentum,AVAX,2026-06-09T00:00:00.000Z,40
momentum,AVAX,2026-06-10T00:00:00.000Z,40
momentum,AVAX,2026-06-11T00:00:00.000Z,40
momentum,AVAX,2026-06-12T00:00:00.000Z,40
momentum,AVAX,2026-06-13T00:00:00.000Z,40
